Bolag;Score;Storlek;Omsättning;Bransch;Plats;LinkedIn;Hemsida;Triggers;Nyheter;Jobbannonser;Hittad;Uppdaterad
Ework;6.2;201-500 employees;;Tech;;https://www.linkedin.com/company/ework;;"[""recruitment""]";[];[];2026-04-07T19:13:03+00:00;2026-04-07T19:13:03+00:00
Formpipe;6.0;201-500 employees;;Tech;Stockholm;https://www.linkedin.com/company/formpipe;;[];[];[];2026-04-07T19:13:03+00:00;2026-04-07T19:13:03+00:00
Wellfound wellfound.com › startups › location › stockholm Best Tech Companies and Startups in Stockholm, Sweden 2026;6.0;;;Tech;Stockholm;;https://wellfound.com;"[""growing"", ""growth"", ""hiring""]";[];"[""Wellfound wellfound.com \u203a startups \u203a location \u203a stockholm Best Tech Companies and Startups in Stockholm, Sweden 2026 | W""]";2026-04-07T19:13:03+00:00;2026-04-07T19:13:03+00:00
Cloud Nine;5.0;51-200 employees;;Cloud/Infrastructure;;https://www.linkedin.com/company/cloud-nine;;[];[];[];2026-04-07T19:13:03+00:00;2026-04-07T19:13:03+00:00
Stockholmfintech;4.8;;;Fintech;Stockholm;https://se.linkedin.com/company/stockholmfintech;;"[""growth""]";[];[];2026-04-07T19:13:03+00:00;2026-04-07T19:13:03+00:00
Indeed se.indeed.com › q-tech-recruiter-l-stockholm-jobb.html 50+ jobb som Tech Recruiter, anställning i Stockholm 27 februari 2026| Indeed;4.2;;;SaaS;Stockholm;;https://se.indeed.com;"[""growth"", ""hiring"", ""jobb""]";[];"[""Indeed se.indeed.com \u203a q-tech-recruiter-l-stockholm-jobb.html 50+ jobb som Tech Recruiter, anst\u00e4llning i Stockholm 27 fe""]";2026-04-07T19:13:03+00:00;2026-04-07T19:13:03+00:00
Snow Software Ab;4.0;;;Tech;Stockholm;https://www.linkedin.com/company/snow-software-ab;;[];[];[];2026-04-07T19:13:03+00:00;2026-04-07T19:13:03+00:00
Syncron;4.0;;;Tech;Stockholm;https://www.linkedin.com/company/syncron;;[];[];[];2026-04-07T19:13:03+00:00;2026-04-07T19:13:03+00:00
Swedish Medtech;4.0;;;Medtech;Stockholm;https://www.linkedin.com/company/swedish-medtech;;[];[];[];2026-04-07T19:13:03+00:00;2026-04-07T19:13:03+00:00
Embark Studios Ab;3.0;;;Tech;;https://www.linkedin.com/company/embark-studios-ab;;[];[];[];2026-04-07T19:13:03+00:00;2026-04-07T19:13:03+00:00
